"Work Item Type","Title 1","Title 2","Title 3","Title 4","Description","Assigned To","State","Iteration Path","Area Path"
"Epic","Develop new product",,,,"We're planning to develop a new product.",,"New","Iteration1","Area1"
"Feature",,"User Management",,,"Feature for managing users in the new product.",,"New","Iteration1","Area1"
"User Story",,,"As a user, I want to register",,"So that I can use the product.",,"New","Iteration1","Area1"
"Task",,,,"Create registration form","Task to create the registration form.",,"New","Iteration1","Area1"
"Task",,,,"Connect registration form to database","Task to connect the registration form to the database.",,"New","Iteration1","Area1"
"Task",,,,"Test registration form","Task to test the registration form.",,"New","Iteration1","Area1"
"Task",,,,"Document registration feature","Task to document the registration feature.",,"New","Iteration1","Area1"
"Task",,,,"Deploy registration feature","Task to deploy the registration feature.",,"New","Iteration1","Area1"
"User Story",,,"As a user, I want to login",,"So that I can access my account.",,"New","Iteration1","Area1"
"Task",,,,"Create login form","Task to create the login form.",,"New","Iteration1","Area1"
"Task",,,,"Connect login form to database","Task to connect the login form to the database.",,"New","Iteration1","Area1"
"Task",,,,"Test login form","Task to test the login form.",,"New","Iteration1","Area1"
"Task",,,,"Document login feature","Task to document the login feature.",,"New","Iteration1","Area1"
"Task",,,,"Deploy login feature","Task to deploy the login feature.",,"New","Iteration1","Area1"
"User Story",,,"As a user, I want to reset my password",,"So that I can recover my account if I forget my password.",,"New","Iteration1","Area1"
"Task",,,,"Create password reset form","Task to create the password reset form.",,"New","Iteration1","Area1"
"Task",,,,"Connect password reset form to database","Task to connect the password reset form to the database.",,"New","Iteration1","Area1"
"Task",,,,"Test password reset form","Task to test the password reset form.",,"New","Iteration1","Area1"
"Task",,,,"Document password reset feature","Task to document the password reset feature.",,"New","Iteration1","Area1"
"Task",,,,"Deploy password reset feature","Task to deploy the password reset feature.",,"New","Iteration1","Area1"
"Feature",,"Product Management",,,"Feature for managing products in the new product.",,"New","Iteration1","Area1"
"User Story",,,"As a product manager, I want to add products",,"So that customers can view and purchase them.",,"New","Iteration1","Area1"
"Task",,,,"Create add product form","Task to create the add product form.",,"New","Iteration1","Area1"
"Task",,,,"Connect add product form to database","Task to connect the add product form to the database.",,"New","Iteration1","Area1"
"Task",,,,"Test add product feature","Task to test the add product feature.",,"New","Iteration1","Area1"
"Task",,,,"Document add product feature","Task to document the add product feature.",,"New","Iteration1","Area1"
"Task",,,,"Deploy add product feature","Task to deploy the add product feature.",,"New","Iteration1","Area1"
"User Story",,,"As a product manager, I want to remove products",,"So that I can manage the product listings.",,"New","Iteration1","Area1"
"Task",,,,"Create remove product form","Task to create the remove product form.",,"New","Iteration1","Area1"
"Task",,,,"Connect remove product form to database","Task to connect the remove product form to the database.",,"New","Iteration1","Area1"
"Task",,,,"Test remove product feature","Task to test the remove product feature.",,"New","Iteration1","Area1"
"Task",,,,"Document remove product feature","Task to document the remove product feature.",,"New","Iteration1","Area1"
"Task",,,,"Deploy remove product feature","Task to deploy the remove product feature.",,"New","Iteration1","Area1"
"User Story",,,"As a product manager, I want to edit product details",,"So that I can keep the product information up to date.",,"New","Iteration1","Area1"
"Task",,,,"Create edit product form","Task to create the edit product form.",,"New","Iteration1","Area1"
"Task",,,,"Connect edit product form to database","Task to connect the edit product form to the database.",,"New","Iteration1","Area1"
"Task",,,,"Test edit product feature","Task to test the edit product feature.",,"New","Iteration1","Area1"
"Task",,,,"Document edit product feature","Task to document the edit product feature.",,"New","Iteration1","Area1"
"Task",,,,"Deploy edit product feature","Task to deploy the edit product feature.",,"New","Iteration1","Area1"
